W,I,J,K,LAT,LON,ALT_MSL,ACCELX,ACCELY,ACCELZ,GYROX,GYROY,GYROZ,MAGX,MAGY,MAGZ,Time,,LAT_DEG,LON_DEG
-0.24,-0.12,0.02,-0.96,422737344,-718090944,189036,0.09,0.46,0.9,0.89,-1.24,-0.66,-0.05,11200,-0.17,17:03:54,,42.2737344,-71.8090944
1,-0.01,-0.04,-0.08,422737344,-718090944,189765,0.09,0.46,0.9,0.21,-2.34,-0.75,-0.05,11152,-0.17,17:03:54,,42.2737344,-71.8090944
-0.88,-0.21,0.16,0.4,422737344,-718090944,189504,0.1,0.47,0.9,-2.15,-2.02,-1.6,-0.05,11448,-0.17,17:03:54,,42.2737344,-71.8090944
0.81,-0.04,0.06,0.57,422737344,-718090944,189504,0.1,0.46,0.87,1.3,-3.47,-2.12,-0.05,11424,-0.17,17:03:54,,42.2737344,-71.8090944
0.58,-0.73,0.07,-0.36,422737344,-718091008,189769,0.09,0.47,0.87,-5.96,-2.34,-2.46,-0.05,12032,-0.17,17:03:54,,42.2737344,-71.8091008
0.33,-0.93,0.13,-0.13,422737344,-718091008,189769,0.09,0.46,0.92,1.76,-1.79,-1.87,-0.06,11536,-0.17,17:03:54,,42.2737344,-71.8091008
0.28,-0.95,0.14,-0.06,422737344,-718091008,189906,0.07,0.46,0.91,-2.94,0.71,-0.17,-0.05,11976,-0.17,17:03:54,,42.2737344,-71.8091008
0.26,-0.95,0.15,-0.03,422737344,-718091008,189906,0.08,0.46,0.89,3.17,0.37,0.98,-0.05,11608,-0.16,17:03:54,,42.2737344,-71.8091008
0.25,-0.96,0.15,-0.02,422737312,-718091072,191736,0.08,0.47,0.92,0.77,2.31,1.29,-0.05,11376,-0.17,17:03:55,,42.2737312,-71.8091072
0.25,-0.96,0.15,-0.01,422737312,-718091072,191658,0.09,0.46,0.87,1.85,1.68,2.34,-0.05,11352,-0.17,17:03:55,,42.2737312,-71.8091072
