W,I,J,K,LAT,LON,ALT_MSL_GPS,ALT_BARO,BARO,ACCELX,ACCELY,ACCELZ,GYROX,GYROY,GYROZ,MAGX,MAGY,MAGZ,Time
-0.53,-0.04,-0.01,-0.85,0.0000,0.0000,0.00,88.84,1002.62,-0.02,0.07,1.01,-0.05,-0.02,0.01,135386.00,135107.00,141722.00,1615075831
0.59,-0.01,0.06,0.81,0.0000,0.0000,0.00,89.27,1002.57,-0.02,0.07,1.01,0.02,0.02,0.01,135387.00,135110.00,141711.00,1615075831
-0.83,-0.03,-0.02,0.56,0.0000,0.0000,0.00,89.27,1002.57,-0.02,0.07,1.01,0.01,-0.01,-0.03,135373.00,135114.00,141713.00,1615075831
0.83,0.03,-0.02,-0.56,0.0000,0.0000,0.00,89.12,1002.59,-0.02,0.07,1.00,0.08,-0.04,0.01,135385.00,135117.00,141717.00,1615075831
0.11,-0.06,-0.99,-0.02,0.0000,0.0000,0.00,89.12,1002.59,-0.02,0.07,1.00,0.11,-0.03,0.04,135377.00,135120.00,141706.00,1615075831
0.04,-0.06,-1.00,0.02,0.0000,0.0000,0.00,88.85,1002.62,-0.02,0.07,1.01,0.00,0.04,-0.02,135382.00,135115.00,141714.00,1615075831
0.03,-0.06,-1.00,0.03,0.0000,0.0000,0.00,88.85,1002.62,-0.02,0.07,1.00,-0.01,-0.02,0.01,135387.00,135107.00,141719.00,1615075831
0.02,-0.06,-1.00,0.03,0.0000,0.0000,0.00,89.01,1002.60,-0.02,0.07,1.00,0.06,-0.01,0.06,135382.00,135115.00,141697.00,1615075831
0.02,-0.06,-1.00,0.03,0.0000,0.0000,0.00,89.01,1002.60,-0.02,0.07,1.01,-0.08,0.02,-0.02,135383.00,135119.00,141719.00,1615075831
0.01,-0.06,-1.00,0.03,0.0000,0.0000,0.00,89.25,1002.57,-0.02,0.07,1.01,0.08,0.01,0.02,135369.00,135122.00,141742.00,1615075831
0.01,-0.06,-1.00,0.03,0.0000,0.0000,0.00,89.25,1002.57,-0.02,0.07,1.01,-0.08,0.04,-0.05,135380.00,135129.00,141736.00,1615075831
0.01,-0.06,-1.00,0.03,0.0000,0.0000,0.00,89.45,1002.55,-0.02,0.07,1.01,-0.07,-0.02,-0.01,135382.00,135120.00,141718.00,1615075831
0.01,-0.06,-1.00,0.03,0.0000,0.0000,0.00,89.45,1002.55,-0.02,0.07,1.00,-0.03,0.01,0.03,135382.00,135131.00,141719.00,1615075831
0.01,-0.06,-1.00,0.03,0.0000,0.0000,0.00,89.17,1002.58,-0.02,0.07,1.00,-0.01,-0.03,-0.02,135383.00,135121.00,141741.00,1615075831
0.01,-0.06,-1.00,0.03,0.0000,0.0000,0.00,89.17,1002.58,-0.02,0.07,1.01,0.04,-0.02,-0.06,135378.00,135129.00,141736.00,1615075831
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.17,1002.58,-0.02,0.07,1.01,-0.05,0.02,0.05,135381.00,135117.00,141724.00,1615075831
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.43,1002.55,-0.02,0.07,1.00,0.10,-0.04,0.04,135383.00,135123.00,141724.00,1615075831
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.43,1002.55,-0.02,0.07,1.01,0.08,-0.05,-0.06,135379.00,135128.00,141740.00,1615075831
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.36,1002.56,-0.02,0.07,1.00,0.15,-0.12,0.02,135376.00,135121.00,141729.00,1615075831
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.36,1002.56,-0.02,0.07,1.00,-0.05,-0.03,0.02,135377.00,135120.00,141737.00,1615075831
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.29,1002.57,-0.02,0.07,1.00,0.01,0.01,-0.02,135378.00,135122.00,141747.00,1615075831
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.29,1002.57,-0.02,0.07,1.00,-0.07,0.02,0.04,135377.00,135139.00,141731.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.29,1002.57,-0.02,0.07,1.01,-0.01,0.02,-0.03,135382.00,135131.00,141731.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.29,1002.57,-0.02,0.07,1.01,-0.02,-0.00,0.01,135369.00,135136.00,141733.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.29,1002.57,-0.02,0.07,1.00,-0.06,0.02,0.03,135372.00,135109.00,141719.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.25,1002.57,-0.02,0.07,1.01,-0.05,0.02,-0.02,135373.00,135123.00,141727.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.25,1002.57,-0.02,0.07,1.00,-0.08,-0.00,-0.03,135369.00,135130.00,141745.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.23,1002.58,-0.02,0.07,1.00,0.05,0.01,-0.01,135381.00,135126.00,141740.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.23,1002.58,-0.02,0.07,1.01,0.11,0.04,-0.03,135380.00,135119.00,141731.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.40,1002.56,-0.02,0.07,1.00,0.00,-0.01,0.01,135377.00,135144.00,141737.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.40,1002.56,-0.02,0.07,1.00,0.02,-0.02,0.01,135377.00,135136.00,141742.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.40,1002.56,-0.02,0.07,1.01,0.02,-0.02,0.03,135379.00,135133.00,141736.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.06,1002.60,-0.02,0.07,1.00,-0.11,0.02,0.04,135370.00,135137.00,141743.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.06,1002.60,-0.02,0.07,1.01,0.14,-0.05,-0.02,135378.00,135125.00,141736.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,88.97,1002.61,-0.02,0.07,1.01,-0.08,-0.00,-0.03,135382.00,135123.00,141741.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,88.97,1002.61,-0.02,0.07,1.00,0.04,0.02,0.01,135378.00,135118.00,141750.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.33,1002.56,-0.02,0.07,1.00,-0.11,-0.02,-0.01,135376.00,135125.00,141741.00,1615075832
0.01,-0.06,-1.00,0.04,0.0000,0.0000,0.00,89.33,1002.56,-0.02,0.07,1.00,-0.01,-0.04,-0.01,135373.00,135129.00,141746.00,1615075832
