Timestamp,Altitude,AccelZ,TotalAccel,AccelX,AccelY,GyroX,GyroY,GyroZ,Mass,DragF,DragCoeff,Pressure
0.01,-3.74E-04,-0.762,0.764,0.053,0,0,0,0,31.215,8.86E-08,0.667,1.00E+05
0.02,-1.46E-04,-0.298,0.299,0.021,0,0,0,0,31.209,3.54E-06,0.667,1.00E+05
0.03,8.09E-05,0.165,0.166,0.012,0,0,0,0,31.204,1.73E-05,0.667,1.00E+05
0.04,5.51E-04,0.629,0.63,0.044,0,0,0,0,31.199,6.42E-05,0.666,1.00E+05
0.05,0.002,1.093,1.095,0.076,0,0,0,0,31.194,2.62E-04,0.665,1.00E+05
0.06,0.004,1.557,1.561,0.109,0,0,0,0,31.189,8.97E-04,0.661,1.00E+05
0.07,0.009,2.021,2.026,0.141,0,0,0,0,31.183,0.003,0.654,1.00E+05
0.08,0.015,2.485,2.492,0.174,0,0,0,0,31.178,0.006,0.645,1.00E+05
0.09,0.025,2.95,2.957,0.206,0,0,0,0,31.173,0.012,0.632,1.00E+05
0.1,0.037,3.415,3.423,0.239,0,0,0,0,31.168,0.021,0.618,1.00E+05
0.11,0.053,3.879,3.889,0.271,0,0,0,0,31.163,0.034,0.602,1.00E+05
0.12,0.073,4.344,4.355,0.304,0,0,0,0,31.157,0.051,0.587,1.00E+05
0.13,0.097,4.809,4.821,0.336,0,0,0,0,31.152,0.072,0.572,1.00E+05
0.14,0.127,5.194,5.207,0.363,0,0,0,0,31.144,0.098,0.558,1.00E+05
0.15,0.161,5.246,5.259,0.367,0,0,0,0,31.133,0.126,0.546,1.00E+05
0.16,0.201,5.262,5.275,0.368,0,0,0,0,31.122,0.157,0.536,1.00E+05
0.17,0.246,5.278,5.291,0.369,0,0,0,0,31.112,0.189,0.526,1.00E+05
0.18,0.296,5.294,5.307,0.37,0,0,0,0,31.101,0.222,0.518,1.00E+05
0.19,0.351,5.31,5.323,0.371,0,0,0,0,31.09,0.256,0.511,1.00E+05
0.2,0.411,5.326,5.339,0.372,0,0,0,0,31.079,0.293,0.505,1.00E+05
0.21,0.477,5.342,5.355,0.374,0,0,0,0,31.069,0.331,0.499,1.00E+05
0.22,0.548,5.358,5.371,0.375,0,0,0,0,31.058,0.371,0.493,1.00E+05
0.23,0.624,5.374,5.387,0.376,0,0,0,0,31.047,0.414,0.488,1.00E+05
0.24,0.705,5.39,5.403,0.377,0,0,0,0,31.037,0.458,0.483,1.00E+05
0.25,0.792,5.406,5.42,0.378,0,0,0,0,31.026,0.505,0.479,1.00E+05
0.26,0.884,5.422,5.436,0.379,0,0,0,0,31.015,0.554,0.475,1.00E+05
0.27,0.981,5.438,5.452,0.38,0,0,0,0,31.004,0.606,0.471,1.00E+05
0.28,1.084,5.454,5.468,0.381,0,0,0,0,30.994,0.66,0.468,1.00E+05
0.29,1.192,5.471,5.484,0.383,0,0,0,0,30.983,0.716,0.464,1.00E+05
0.3,1.305,5.487,5.5,0.384,0,0,0,0,30.972,0.775,0.461,1.00E+05
0.31,1.424,5.503,5.516,0.385,0,0,0,0,30.962,0.836,0.458,1.00E+05
0.32,1.548,5.519,5.532,0.386,0,0,0,0,30.951,0.9,0.455,1.00E+05
0.33,1.678,5.535,5.548,0.387,0,0,0,0,30.94,0.966,0.453,1.00E+05
0.34,1.813,5.551,5.564,0.388,0,0,0,0,30.929,1.035,0.45,1.00E+05
0.35,1.954,5.567,5.58,0.389,0,0,0,0,30.919,1.107,0.448,1.00E+05
0.36,2.1,5.583,5.597,0.39,0,0,0,0,30.908,1.181,0.446,1.00E+05
0.37,2.251,5.599,5.613,0.392,0,0,0,0,30.897,1.259,0.444,1.00E+05
0.38,2.408,5.615,5.629,0.393,0,0,0,0,30.887,1.339,0.442,1.00E+05
0.39,2.57,5.631,5.645,0.394,0,0,0,0,30.876,1.421,0.44,1.00E+05
0.4,2.738,5.647,5.661,0.395,0,0,0,0,30.865,1.506,0.438,1.00E+05
0.41,2.912,5.663,5.677,0.396,0,0,0,0,30.854,1.594,0.436,1.00E+05
0.42,3.091,5.675,5.689,0.397,0,0,0,0,30.843,1.685,0.435,1.00E+05
0.43,3.276,5.686,5.7,0.398,0,0,0,0,30.832,1.778,0.433,1.00E+05
0.44,3.466,5.697,5.711,0.398,0,0,0,0,30.821,1.874,0.432,1.00E+05
0.45,3.662,5.708,5.722,0.399,0,0,0,0,30.809,1.972,0.43,1.00E+05
0.46,3.863,5.72,5.733,0.4,0,0,0,0,30.798,2.074,0.429,1.00E+05
0.47,4.07,5.731,5.745,0.401,0,0,0,0,30.787,2.178,0.428,1.00E+05
0.48,4.283,5.742,5.756,0.402,0,0,0,0,30.776,2.284,0.426,1.00E+05
0.49,4.501,5.753,5.767,0.402,0,0,0,0,30.764,2.393,0.425,1.00E+05
0.5,4.725,5.764,5.778,0.403,0,0,0,0,30.753,2.505,0.424,1.00E+05
0.51,4.955,5.775,5.789,0.404,0,0,0,0,30.742,2.62,0.422,1.00E+05
0.52,5.19,5.786,5.801,0.405,0,0,0,0,30.731,2.738,0.421,1.00E+05
0.535,5.554,5.797,5.815,0.461,0,0,7.40E-04,-1.30E-07,30.714,2.92,0.42,1.00E+05
0.558,6.123,5.819,5.837,0.461,0,0,0.002,-1.37E-07,30.689,3.205,0.417,1.00E+05
0.591,7.031,5.851,5.87,0.463,0,0,0.004,5.68E-07,30.651,3.659,0.414,1.00E+05
0.641,8.498,5.899,5.918,0.467,0,0,0.007,-1.59E-07,30.595,4.39,0.409,1.00E+05
0.691,10.109,5.955,5.974,0.472,0,0,0.011,1.74E-06,30.538,5.193,0.405,1.00E+05
0.741,11.867,6.005,6.024,0.478,0,0,0.015,2.54E-06,30.48,6.067,0.402,1.00E+05
0.791,13.773,6.053,6.073,0.486,0,0,0.019,1.01E-06,30.422,7.014,0.398,1.00E+05
0.841,15.827,6.101,6.121,0.496,0,0,0.024,2.85E-06,30.364,8.035,0.395,1.00E+05
0.891,18.032,6.148,6.169,0.508,0,0,0.029,3.19E-06,30.306,9.131,0.393,1.00E+05
0.941,20.388,6.196,6.218,0.522,0,0,0.034,1.75E-06,30.248,10.303,0.39,1.00E+05
0.991,22.896,6.239,6.262,0.539,0,0,0.039,7.99E-07,30.189,11.553,0.388,1.00E+05
1.041,25.557,6.272,6.297,0.557,0,6.20E-09,0.045,6.11E-06,30.129,12.935,0.387,1.00E+05
1.091,28.373,6.305,6.331,0.578,0,-6.53E-09,0.05,3.57E-06,30.07,14.427,0.388,1.00E+05
1.141,31.343,6.337,6.366,0.602,0,-5.75E-09,0.055,3.84E-06,30.011,16.011,0.388,1.00E+05
1.191,34.469,6.369,6.4,0.629,0,0,0.06,4.54E-06,29.951,17.69,0.388,1.00E+05
1.241,37.752,6.4,6.434,0.658,0,0,0.064,3.29E-06,29.892,19.466,0.389,1.00E+05
1.291,41.191,6.422,6.459,0.689,0,6.80E-09,0.067,1.47E-05,29.831,21.339,0.389,1.00E+05
1.341,44.788,6.441,6.481,0.722,0,-1.73E-08,0.069,3.36E-05,29.771,23.312,0.389,1.00E+05
1.391,48.544,6.459,6.503,0.756,0,1.17E-08,-0.069,3.34E-04,29.711,25.385,0.39,1.00E+05
1.441,52.457,6.477,6.525,0.79,0,8.23E-09,-0.068,3.25E-05,29.651,27.561,0.39,1.00E+05
1.491,56.53,6.494,6.546,0.825,0,5.40E-09,-0.065,2.35E-05,29.59,29.841,0.39,1.00E+05
1.541,60.762,6.508,6.565,0.858,0,-1.90E-08,-0.06,2.80E-05,29.53,32.225,0.391,1.00E+05
1.591,65.154,6.518,6.578,0.888,0,1.82E-08,-0.054,5.76E-06,29.469,34.711,0.391,1.00E+05
1.641,69.705,6.527,6.591,0.915,0,0,-0.045,1.37E-05,29.408,37.297,0.392,1.00E+05
1.691,74.417,6.536,6.603,0.938,0,1.80E-08,-0.036,-1.54E-06,29.348,39.984,0.392,1.00E+05
1.741,79.289,6.546,6.615,0.955,0,8.62E-09,-0.024,5.72E-06,29.287,42.77,0.392,1.00E+05
1.791,84.321,6.556,6.626,0.965,0,1.12E-08,-0.012,-2.36E-06,29.226,45.654,0.393,1.00E+05
1.841,89.514,6.562,6.633,0.968,0,0,8.08E-05,1.77E-05,29.166,48.635,0.394,1.00E+05
1.891,94.868,6.569,6.639,0.962,0,8.63E-09,0.012,1.49E-05,29.105,51.714,0.394,1.00E+05
1.941,100.384,6.576,6.645,0.95,0,0,0.023,3.97E-06,29.044,54.892,0.395,1.00E+05
1.991,106.06,6.584,6.649,0.93,0,1.47E-08,0.032,7.55E-06,28.983,58.157,0.395,1.00E+05
2.041,111.898,6.592,6.654,0.906,0,-2.11E-08,0.038,-6.74E-06,28.922,61.53,0.396,1.00E+05
2.091,117.897,6.598,6.656,0.877,0,2.47E-08,0.04,-1.60E-05,28.862,65.012,0.396,1.00E+05
2.141,124.059,6.602,6.656,0.847,0,2.63E-08,-0.039,-2.61E-05,28.801,68.605,0.397,9.99E+04
2.191,130.382,6.606,6.656,0.819,0,1.42E-08,-0.033,-2.40E-05,28.74,72.308,0.398,9.99E+04
2.241,136.866,6.608,6.656,0.795,0,0,-0.024,1.10E-06,28.679,76.119,0.398,9.98E+04
2.291,143.513,6.609,6.655,0.778,0,0,-0.012,-1.08E-05,28.618,80.033,0.399,9.97E+04
2.341,150.322,6.608,6.653,0.771,0,6.97E-09,0.002,-3.28E-05,28.558,84.046,0.4,9.97E+04
2.391,157.293,6.601,6.647,0.775,0,7.19E-09,0.017,-1.57E-05,28.497,88.153,0.401,9.96E+04
2.441,164.426,6.591,6.639,0.791,0,-3.21E-08,0.03,-2.88E-05,28.437,92.354,0.401,9.95E+04
2.491,171.72,6.58,6.631,0.816,0,2.15E-08,0.042,9.91E-06,28.376,96.656,0.402,9.94E+04
2.541,179.175,6.568,6.622,0.85,0,-7.16E-09,0.048,5.37E-05,28.316,101.063,0.403,9.93E+04
2.591,186.791,6.554,6.614,0.888,0,-1.81E-08,-0.05,2.08E-04,28.255,105.582,0.404,9.93E+04
2.641,194.567,6.527,6.592,0.923,0,7.25E-08,-0.045,-9.98E-07,28.196,110.203,0.405,9.92E+04
2.691,202.504,6.491,6.56,0.952,0,-3.74E-08,-0.036,5.44E-05,28.136,114.917,0.406,9.91E+04
2.741,210.599,6.456,6.528,0.97,0,8.21E-09,-0.022,2.44E-05,28.076,119.715,0.406,9.90E+04
2.791,218.851,6.422,6.495,0.974,0,1.42E-08,-0.006,2.27E-06,28.017,124.59,0.407,9.89E+04
2.841,227.261,6.39,6.462,0.962,0,5.19E-09,0.01,4.86E-06,27.957,129.54,0.408,9.88E+04
2.891,235.827,6.349,6.418,0.935,0,1.41E-08,0.023,-1.03E-05,27.899,134.562,0.409,9.87E+04
2.941,244.548,6.275,6.338,0.894,0,1.92E-08,0.03,-5.44E-05,27.841,139.632,0.41,9.86E+04
2.991,253.422,6.197,6.255,0.849,0,0,-0.03,-7.86E-05,27.784,144.75,0.411,9.85E+04
3.041,262.446,6.118,6.171,0.807,0,-1.11E-08,-0.023,-1.80E-05,27.726,149.912,0.412,9.84E+04
3.091,271.62,6.037,6.087,0.775,0,1.19E-08,-0.01,-2.69E-05,27.669,155.108,0.413,9.83E+04
3.141,280.941,5.954,6.002,0.759,0,0,0.006,-4.53E-05,27.612,160.326,0.414,9.82E+04
3.191,290.406,5.862,5.911,0.76,0,-1.38E-08,0.021,-5.39E-05,27.558,165.554,0.415,9.81E+04
3.241,300.015,5.764,5.817,0.777,0,0,0.033,-4.64E-05,27.504,170.79,0.416,9.80E+04
3.291,309.763,5.665,5.722,0.803,0,0,0.039,-5.76E-04,27.45,176.037,0.417,9.79E+04
3.341,319.649,5.565,5.627,0.83,0,-4.57E-08,-0.036,-5.60E-05,27.396,181.297,0.418,9.78E+04
3.391,329.671,5.466,5.532,0.849,0,-3.40E-08,-0.025,-5.78E-06,27.342,186.562,0.419,9.77E+04
3.441,339.826,5.371,5.439,0.852,0,2.37E-08,-0.01,-7.01E-05,27.29,191.822,0.421,9.76E+04
