AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Pressure,Altitude,Q,I,J,K,Timestamp
0,0.06,1,-0.55,0.06,-0.3,166781,98792,165675,982.38,260.2,0.01,-0.1,-0.01,-1,165304
0,0.06,1,-0.61,-0.06,-0.24,166786,98791,165651,982.38,260.2,0.95,-0.32,-0.01,0,165307
0,0.06,1,-0.61,-0.12,-0.3,166786,98779,165669,982.54,258.83,0.04,-1,0.07,-0.04,165309
0,0.06,1,-0.55,-0.12,-0.3,166796,98808,165703,982.42,259.86,0.03,-1,0.07,-0.02,165312
0,0.06,1,-0.73,-0.06,-0.24,166767,98778,165695,982.54,258.83,0.03,-1,0.07,-0.01,165315
0,0.06,1,-0.73,-0.12,-0.24,166774,98748,165675,982.42,259.86,0.03,-1,0.07,-0.01,165317
0,0.06,1,-0.67,-0.12,-0.24,166785,98798,165625,982.26,261.22,0.03,-1,0.07,-0.01,165320
0,0.06,1,-0.67,0.06,-0.37,166769,98796,165708,982.38,260.2,0.03,-1,0.07,-0.01,165322
0,0.06,1,-0.61,0.12,-0.24,166777,98797,165639,982.42,259.86,0.03,-1,0.07,-0.01,165325
0,0.06,1,-0.67,0.06,-0.18,166792,98777,165646,982.38,260.2,0.03,-1,0.07,-0.01,165327
0,0.06,1,-0.61,0.12,-0.3,166801,98793,165719,982.5,259.17,0.03,-1,0.07,-0.01,165330
0,0.06,1,-0.67,0.12,-0.18,166792,98808,165648,982.38,260.2,0.03,-1,0.07,-0.01,165332
0,0.06,1.01,-0.61,0,-0.18,166771,98787,165636,982.42,259.86,0.03,-1,0.07,-0.01,165335
0,0.06,1,-0.67,0.12,-0.24,166770,98785,165639,982.38,260.2,0.03,-1,0.07,0,165337
0,0.06,1.01,-0.67,0,-0.24,166771,98762,165675,982.5,259.17,0.03,-1,0.07,0,165340
0,0.06,1,-0.61,0,-0.3,166778,98764,165665,982.5,259.17,0.03,-1,0.07,0,165342
0,0.06,1,-0.61,0.12,-0.18,166789,98792,165688,982.42,259.86,0.03,-1,0.07,0,165345
0,0.06,1,-0.49,0,-0.24,166807,98746,165671,982.38,260.2,0.03,-1,0.07,0,165348
0,0.06,1,-0.43,-0.06,-0.24,166776,98794,165678,982.42,259.86,0.03,-1,0.07,0,165350
0,0.06,1,-0.61,0,-0.3,166790,98821,165691,982.5,259.17,0.03,-1,0.07,0,165353
0,0.06,1,-0.49,-0.06,-0.37,166775,98811,165679,982.38,260.2,0.03,-1,0.07,0,165355
0,0.06,1,-0.49,0,-0.3,166765,98784,165680,982.38,260.2,0.03,-1,0.07,0,165358
0,0.06,1,-0.61,-0.18,-0.24,166800,98748,165665,982.38,260.2,0.03,-1,0.07,0,165360
0,0.06,1,-0.55,0,-0.37,166788,98793,165636,982.38,260.2,0.03,-1,0.07,0,165363
0,0.06,1,-0.49,0,-0.18,166768,98781,165666,982.42,259.86,0.03,-1,0.07,0,165365
0,0.06,1,-0.55,-0.18,-0.24,166783,98755,165664,982.38,260.2,0.03,-1,0.07,0,165368
0,0.06,1,-0.55,-0.18,-0.3,166778,98772,165703,982.38,260.2,0.03,-1,0.07,0,165370
0,0.06,1,-0.55,-0.18,-0.24,166791,98785,165634,982.5,259.17,0.03,-1,0.07,0,165373
0,0.06,1,-0.55,-0.24,-0.18,166787,98805,165666,982.38,260.2,0.03,-1,0.07,0,165376
0,0.06,1,-0.49,-0.12,-0.12,166774,98754,165678,982.5,259.17,0.03,-1,0.07,0,165378
0,0.06,1,-0.49,-0.12,-0.18,166767,98770,165680,982.54,258.83,0.03,-1,0.07,0,165381
0,0.06,1.01,-0.55,-0.06,-0.24,166795,98801,165689,982.42,259.86,0.03,-1,0.07,0,165383
0,0.06,1,-0.43,-0.18,-0.18,166785,98774,165650,982.5,259.17,0.03,-1,0.07,0,165386
0,0.06,1,-0.37,-0.12,-0.18,166809,98776,165645,982.42,259.86,0.03,-1,0.07,0,165388
0,0.06,1,-0.55,-0.06,-0.12,166795,98781,165687,982.54,258.83,0.03,-1,0.07,0,165391
0,0.06,1.01,-0.61,0,-0.3,166774,98796,165642,982.38,260.2,0.03,-1,0.07,0,165393
0,0.06,1,-0.55,0,-0.3,166765,98777,165639,982.38,260.2,0.03,-1,0.07,0,165396
-0.01,0.06,1,-0.67,0.06,-0.24,166777,98756,165680,982.54,258.83,0.03,-1,0.07,0,165398
0,0.06,1,-0.67,0,-0.3,166793,98773,165634,982.38,260.2,0.03,-1,0.07,0,165401
0,0.06,1,-0.55,-0.06,-0.18,166764,98787,165613,982.38,260.2,0.03,-1,0.07,0,165403
0,0.06,1,-0.61,0,-0.3,166800,98768,165688,982.38,260.2,0.03,-1,0.07,0,165406
0,0.06,1,-0.49,0,-0.24,166797,98778,165678,982.54,258.83,0.03,-1,0.07,0,165409
