Timestamp, State, Altitude, Temperature, AbPct, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, VertVel, LatVel, TotalVel, vBatt
7,1,-0.47,18,0,-7,0,69,-84,-65,111,0,0,0,104
17,1,-0.13,18,0,-7,-4,71,-31,-60,93,0,0,0,103
27,1,0.21,18,0,-7,0,74,-59,-58,73,0,0,0,102
37,1,-0.64,18,0,-1,-4,69,-40,-53,77,0,0,0,101
47,1,-0.3,18,0,-4,-4,70,-44,-58,93,0,0,0,101
57,1,-0.3,18,0,-6,-4,67,-28,-58,90,0,0,0,101
67,1,0.04,18,0,-7,-5,66,-12,-45,92,0,0,0,100
77,1,-0.56,18,0,-10,-4,62,39,-29,81,0,0,0,100
87,1,0.39,18,0,-12,-8,72,47,-16,65,0,0,0,100
97,1,0.39,18,0,-10,-7,70,11,-17,37,0,0,0,100
107,1,-0.56,18,0,-9,-8,70,37,-12,26,0,0,0,100
117,1,-0.22,18,0,-7,-8,75,23,-16,13,0,0,0,99
127,1,-0.22,18,0,-3,-7,74,9,-31,26,0,0,0,99
137,1,0.13,18,0,-6,-8,74,15,-31,52,0,0,0,99
147,1,-0.73,18,0,-10,-8,75,12,-21,61,0,0,0,99
157,1,0.47,18,0,-12,-8,75,1,-9,45,0,0,0,99
167,1,0.47,18,0,-11,-8,75,2,-6,19,0,0,0,99
177,1,0.47,18,0,-8,-8,76,-2,-2,11,0,0,0,99
187,1,-0.04,18,0,-7,-8,76,-5,-7,10,0,0,0,99
197,1,-0.39,18,0,-5,-8,77,-12,-8,15,0,0,0,99
207,1,-0.99,18,0,-4,-7,77,-23,-13,28,0,0,0,99
217,1,0.81,18,0,-4,-7,76,-27,-3,42,0,0,0,99
227,1,0.3,18,0,-4,-7,75,-25,11,56,0,0,0,99
237,1,0.3,18,0,-6,-6,74,-24,15,56,0,0,0,99
247,1,0.3,18,0,-4,-7,74,-21,2,47,0,0,0,99
257,1,0.3,18,0,-3,-7,75,-30,-2,54,0,0,0,99
267,1,-0.3,18,0,-5,-6,73,-33,-12,58,0,0,0,99
277,1,-0.3,18,0,-5,-7,72,-31,-10,43,0,0,0,99
287,1,0.64,18,0,-2,-7,70,-27,7,56,0,0,0,99
297,1,-0.3,18,0,-4,-8,74,-18,-3,58,0,0,0,99
307,1,0.04,18,0,-3,-8,73,-29,-9,56,0,0,0,99
317,1,-0.3,18,0,-5,-8,74,-26,-22,51,0,0,0,99
327,1,-1.16,18,0,-4,-8,73,-27,-21,50,0,0,0,99
337,1,0.99,18,0,-5,-9,73,-20,-12,55,0,0,0,99
