AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
-0.0,0.0,1.01,0.08,0.04,0.02,130507.0,131337.0,130437.0
-0.0,0.0,1.01,-0.11,0.04,0.02,130501.0,131336.0,130440.0
0.0,0.0,1.01,-0.17,-0.02,-0.04,130497.0,131340.0,130439.0
0.0,0.0,1.01,-0.17,0.04,-0.1,130498.0,131336.0,130434.0
-0.0,0.0,1.0,-0.05,0.04,-0.04,130496.0,131330.0,130447.0
-0.0,-0.0,1.01,-0.05,-0.08,0.14,130504.0,131344.0,130432.0
0.0,0.0,1.01,-0.05,-0.02,-0.1,130503.0,131341.0,130445.0
0.0,-0.0,1.01,-0.05,-0.02,0.02,130497.0,131341.0,130445.0
-0.0,-0.0,1.01,0.02,-0.08,0.02,130503.0,131341.0,130435.0
-0.0,0.0,1.01,-0.05,0.04,-0.1,130513.0,131348.0,130442.0
0.0,-0.0,1.01,-0.11,0.04,-0.04,130512.0,131330.0,130432.0
0.0,0.0,1.01,-0.11,-0.02,-0.04,130506.0,131339.0,130439.0
-0.0,0.0,1.01,0.02,0.04,-0.1,130509.0,131331.0,130431.0
-0.0,0.0,1.01,-0.05,-0.02,0.02,130503.0,131338.0,130436.0
0.0,-0.0,1.01,-0.11,0.04,0.02,130506.0,131335.0,130440.0
0.0,0.0,1.0,-0.17,-0.08,-0.1,130505.0,131343.0,130437.0
0.0,0.0,1.01,-0.17,-0.08,-0.04,130508.0,131344.0,130442.0
0.0,-0.0,1.01,0.08,-0.02,0.02,130507.0,131343.0,130445.0
-0.0,0.0,1.0,0.08,0.04,0.08,130496.0,131333.0,130449.0
-0.0,0.0,1.01,-0.05,-0.02,-0.1,130511.0,131332.0,130440.0
-0.0,-0.0,1.01,-0.11,-0.02,-0.1,130505.0,131339.0,130444.0
-0.0,-0.0,1.01,0.08,-0.08,0.02,130515.0,131346.0,130443.0
0.0,-0.0,1.01,0.02,0.1,-0.1,130507.0,131343.0,130444.0
-0.0,0.0,1.0,-0.05,0.04,0.02,130502.0,131342.0,130440.0
-0.0,0.0,1.01,0.08,-0.02,0.08,130498.0,131337.0,130439.0
-0.0,0.0,1.01,-0.11,-0.02,-0.1,130504.0,131332.0,130442.0
-0.0,0.0,1.01,0.08,-0.02,0.02,130491.0,131333.0,130437.0
-0.0,0.0,1.01,0.02,-0.08,-0.04,130502.0,131331.0,130445.0
-0.0,0.0,1.0,-0.11,0.04,-0.04,130493.0,131329.0,130434.0
-0.0,0.0,1.01,-0.11,-0.02,0.02,130502.0,131342.0,130434.0
0.0,0.0,1.01,-0.05,0.04,-0.04,130499.0,131346.0,130436.0
-0.0,0.0,1.01,0.08,0.04,-0.1,130497.0,131338.0,130439.0
0.0,-0.0,1.01,-0.05,-0.02,-0.1,130513.0,131337.0,130427.0
0.0,0.0,1.01,0.02,-0.02,-0.1,130511.0,131334.0,130440.0
0.0,0.0,1.01,0.02,0.04,0.02,130509.0,131333.0,130437.0
0.0,0.0,1.01,-0.05,-0.08,0.02,130511.0,131337.0,130439.0
-0.0,-0.0,1.01,0.08,-0.02,0.02,130506.0,131348.0,130444.0
0.0,-0.0,1.01,-0.05,-0.02,0.08,130512.0,131341.0,130439.0
-0.0,-0.0,1.01,-0.05,0.04,-0.04,130505.0,131344.0,130440.0
-0.0,-0.0,1.0,0.02,0.04,-0.04,130507.0,131337.0,130439.0
-0.0,-0.0,1.0,0.14,-0.14,-0.1,130500.0,131351.0,130442.0
0.01,0.0,1.01,-0.05,-0.38,1.67,130513.0,131343.0,130429.0
-0.0,0.0,1.0,-0.05,0.04,0.02,130509.0,131337.0,130445.0
0.0,0.0,1.01,0.02,-0.02,0.08,130509.0,131329.0,130434.0
0.0,-0.0,1.0,-0.11,-0.02,0.02,130511.0,131336.0,130448.0
-0.0,0.0,1.01,0.02,-0.02,-0.1,130506.0,131349.0,130446.0
-0.0,0.0,1.01,-0.17,0.1,0.02,130512.0,131337.0,130432.0
0.0,0.0,1.01,-0.05,-0.02,0.02,130510.0,131336.0,130446.0
0.0,0.0,1.01,-0.05,-0.02,-0.16,130502.0,131327.0,130450.0
-0.0,-0.0,1.0,0.02,-0.02,0.02,130502.0,131337.0,130454.0
0.0,-0.0,1.01,0.02,0.1,0.02,130498.0,131331.0,130446.0
-0.0,-0.0,1.0,-0.05,-0.08,-0.1,130502.0,131331.0,130444.0
-0.0,0.0,1.01,0.02,0.04,-0.04,130498.0,131332.0,130450.0
-0.0,-0.0,1.01,0.02,-0.02,-0.1,130501.0,131338.0,130447.0
-0.0,-0.0,1.01,-0.05,0.04,-0.1,130503.0,131339.0,130445.0
-0.0,0.0,1.01,-0.05,0.04,0.08,130510.0,131328.0,130441.0
-0.0,0.0,1.01,-0.05,0.04,0.02,130504.0,131328.0,130446.0
-0.0,-0.0,1.01,0.02,-0.02,0.14,130499.0,131333.0,130430.0
0.0,0.0,1.01,-0.05,0.04,0.08,130504.0,131336.0,130446.0
-0.0,-0.0,1.01,-0.05,0.04,-0.04,130505.0,131337.0,130435.0
-0.0,0.0,1.0,-0.17,-0.02,0.02,130508.0,131343.0,130439.0
0.0,-0.0,1.01,-0.05,-0.02,-0.04,130506.0,131335.0,130432.0
-0.0,-0.0,1.01,0.02,0.1,-0.1,130514.0,131334.0,130434.0
-0.0,0.0,1.01,-0.11,-0.08,-0.1,130505.0,131351.0,130425.0
-0.0,0.0,1.01,-0.05,-0.08,0.02,130501.0,131335.0,130435.0
-0.0,0.0,1.0,0.08,0.1,-0.1,130503.0,131334.0,130431.0
0.0,0.0,1.01,-0.17,0.1,0.02,130512.0,131332.0,130445.0
-0.0,0.0,1.01,0.02,0.1,-0.16,130502.0,131332.0,130445.0
-0.0,0.0,1.0,-0.11,0.04,-0.1,130509.0,131332.0,130437.0
-0.0,0.0,1.01,0.14,0.04,0.08,130508.0,131334.0,130441.0
-0.0,0.0,1.01,-0.05,-0.02,0.02,130508.0,131345.0,130432.0
0.0,0.0,1.01,0.02,-0.02,-0.04,130506.0,131338.0,130432.0
0.0,0.0,1.01,-0.11,-0.02,0.02,130509.0,131337.0,130434.0
