accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ
0.33,-0.04,-1.01,-2.63,-0.11,1.31,94384.00,-2672.00,143024.00,24782
0.33,-0.05,-1.01,-1.60,-1.11,-1.40,94400.00,-2584.00,143112.00,24807
0.33,-0.02,-1.02,-0.90,0.47,-2.59,94504.00,-2560.00,143216.00,24832
0.32,-0.01,-1.00,0.91,1.59,-2.39,94480.00,-2528.00,143096.00,24857
0.33,0.02,-1.01,5.01,0.79,-3.62,94528.00,-2536.00,142976.00,24882
0.33,0.02,-0.99,5.68,1.16,-1.28,94520.00,-2480.00,142928.00,24907
0.33,-0.01,-0.97,6.18,-0.63,0.75,94488.00,-2752.00,142944.00,24932
0.33,-0.04,-1.01,-0.83,-3.01,-1.61,94552.00,-2680.00,143264.00,24957
0.34,0.01,-1.00,2.67,-0.21,-0.08,94472.00,-2744.00,143152.00,24982
0.34,-0.02,-1.01,-0.22,-2.53,1.14,94392.00,-2752.00,143176.00,25007
0.34,-0.03,-1.04,-2.88,-2.76,-0.29,94288.00,-2704.00,143232.00,25032
0.34,-0.02,-1.05,0.45,1.23,-1.45,94456.00,-2624.00,143352.00,25057
0.34,-0.01,-1.00,2.03,1.53,-2.20,94400.00,-2648.00,143072.00,25082
0.34,0.03,-1.04,-0.32,-2.54,3.44,94392.00,-2608.00,143096.00,25107
0.34,-0.04,-1.04,0.68,-0.51,5.16,94392.00,-2720.00,143160.00,25132
0.34,-0.06,-1.03,-1.08,0.55,2.08,94464.00,-2616.00,143496.00,25157
0.35,-0.05,-1.03,-2.98,-0.51,-0.57,94296.00,-2456.00,143184.00,25182
0.34,-0.03,-1.06,-3.59,2.01,0.32,94296.00,-2640.00,142904.00,25207
0.33,-0.02,-1.04,-0.22,5.15,-0.17,94512.00,-2592.00,143216.00,25232
0.33,-0.04,-0.98,1.29,4.93,0.06,94576.00,-2568.00,143088.00,25257
0.32,-0.04,-0.98,-2.48,1.37,-1.22,94560.00,-2576.00,143096.00,25282
0.33,0.03,-0.99,-1.05,1.29,0.66,94504.00,-2472.00,143112.00,25307
0.33,-0.01,-0.98,1.64,0.79,3.77,94488.00,-2664.00,143208.00,25332
0.32,-0.05,-0.98,-1.63,-2.85,1.96,94352.00,-2368.00,143368.00,25357
0.33,-0.05,-1.02,-2.51,-2.41,-0.30,94544.00,-2448.00,143232.00,25382
0.32,-0.03,-0.96,2.01,1.27,-3.86,94416.00,-2568.00,143304.00,25407
0.33,0.02,-0.96,-0.18,-2.91,-2.76,94488.00,-2392.00,143320.00,25432
0.33,0.03,-1.00,1.15,-4.31,0.74,94392.00,-2432.00,143408.00,25457
0.33,-0.03,-1.00,1.26,-3.94,2.88,94344.00,-2400.00,143200.00,25482
0.34,-0.04,-1.02,-1.93,-5.05,-1.04,94392.00,-2464.00,143256.00,25507
0.33,-0.06,-1.04,-0.72,-1.88,2.68,94224.00,-2576.00,143272.00,25532
