W,I,J,K,LAT,LON,ALT_MSL_GPS,ALT_BARO,BARO,ACCELX,ACCELY,ACCELZ,GYROX,GYROY,GYROZ,MAGX,MAGY,MAGZ,Time
-0.57,-0.00,-0.01,-0.82,279359776.0000,-513651328.0000,-581734400.00,120.74,998.83,-0.01,0.00,1.02,0.02,-0.00,-0.02,130926.00,128521.00,130432.00,3312023773
0.41,-0.01,-0.00,0.91,279359776.0000,-513651328.0000,-581734400.00,121.79,998.70,-0.01,0.00,1.02,-0.01,0.06,-0.06,130924.00,128522.00,130441.00,3312023773
0.87,0.00,0.00,-0.49,279359776.0000,-513651328.0000,-581734400.00,121.79,998.70,-0.01,0.00,1.01,0.04,-0.04,-0.00,130924.00,128525.00,130437.00,3312023773
-0.86,-0.00,-0.04,0.52,279359776.0000,-513651328.0000,-581734400.00,121.79,998.70,-0.01,0.00,1.02,-0.00,0.04,-0.04,130920.00,128537.00,130443.00,3312023773
-0.32,-0.03,-0.91,0.26,279359776.0000,-513651328.0000,-581734400.00,121.67,998.72,-0.01,0.00,1.02,-0.00,0.01,-0.00,130926.00,128531.00,130458.00,3312023773
-0.11,-0.03,-0.99,0.10,279359776.0000,-513651328.0000,-581734400.00,121.67,998.72,-0.01,0.00,1.02,0.08,-0.01,0.01,130919.00,128538.00,130447.00,3312023773
-0.05,-0.03,-1.00,0.05,279359776.0000,-513651328.0000,-581734400.00,121.37,998.75,-0.01,0.00,1.02,0.08,-0.04,-0.03,130916.00,128539.00,130469.00,3312023773
-0.03,-0.03,-1.00,0.03,279359776.0000,-513651328.0000,-581734400.00,121.37,998.75,-0.01,0.00,1.02,-0.00,0.03,-0.00,130924.00,128539.00,130477.00,3312023773
-0.01,-0.03,-1.00,0.02,279359776.0000,-513651328.0000,-581734400.00,121.37,998.75,-0.01,0.00,1.02,0.03,0.00,0.02,130927.00,128538.00,130475.00,3312023773
-0.01,-0.03,-1.00,0.01,279359776.0000,-513651328.0000,-581734400.00,121.03,998.80,-0.01,0.00,1.02,-0.06,-0.03,-0.00,130925.00,128541.00,130456.00,3312023773
-0.00,-0.03,-1.00,0.01,279359776.0000,-513651328.0000,-581734400.00,121.03,998.80,-0.01,0.00,1.02,0.01,0.00,-0.02,130923.00,128545.00,130477.00,3312023773
-0.00,-0.03,-1.00,0.01,279359776.0000,-513651328.0000,-581734400.00,121.39,998.75,-0.01,0.00,1.02,0.07,-0.01,-0.02,130921.00,128528.00,130467.00,3312023773
0.00,-0.03,-1.00,0.01,279359776.0000,-513651328.0000,-581734400.00,121.39,998.75,-0.01,0.00,1.02,-0.03,0.00,0.01,130928.00,128534.00,130486.00,3312023773
0.00,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.39,998.75,-0.01,0.00,1.02,0.05,-0.03,-0.00,130923.00,128537.00,130487.00,3312023773
0.00,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.54,998.73,-0.01,0.00,1.02,0.05,-0.03,-0.00,130922.00,128537.00,130492.00,3312023773
0.00,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.54,998.73,-0.01,-0.00,1.02,0.02,-0.02,-0.04,130926.00,128546.00,130491.00,3312023773
0.00,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.54,998.73,-0.01,0.00,1.02,0.03,-0.06,-0.01,130922.00,128553.00,130490.00,3312023773
0.00,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.43,998.75,-0.01,0.00,1.02,0.05,0.06,-0.03,130920.00,128540.00,130486.00,3312023773
0.00,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.43,998.75,-0.01,0.00,1.02,0.02,0.00,-0.02,130917.00,128548.00,130475.00,3312023773
0.00,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.52,998.74,-0.01,0.00,1.02,-0.00,-0.06,0.01,130922.00,128540.00,130481.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.52,998.74,-0.01,0.00,1.02,0.05,-0.02,0.04,130923.00,128546.00,130494.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.52,998.74,-0.01,0.00,1.02,0.05,0.04,-0.02,130920.00,128546.00,130486.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.45,998.75,-0.01,-0.00,1.02,0.02,0.00,0.01,130924.00,128540.00,130496.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.45,998.75,-0.01,0.00,1.02,-0.02,0.03,-0.05,130920.00,128545.00,130490.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.92,998.69,-0.01,0.00,1.02,-0.05,0.03,-0.02,130919.00,128555.00,130482.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.92,998.69,-0.01,-0.00,1.02,-0.07,0.00,0.01,130925.00,128548.00,130499.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.92,998.69,-0.01,0.00,1.02,-0.00,-0.04,0.01,130922.00,128535.00,130490.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.77,998.71,-0.01,0.00,1.02,0.01,0.00,0.02,130919.00,128550.00,130502.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.77,998.71,-0.01,0.00,1.02,-0.04,-0.03,0.01,130922.00,128553.00,130495.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.77,998.71,-0.01,0.00,1.02,-0.01,0.03,0.01,130917.00,128551.00,130506.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.62,998.72,-0.01,0.00,1.01,-0.09,-0.03,0.02,130922.00,128554.00,130507.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.62,998.72,-0.01,0.00,1.02,-0.08,0.03,0.04,130923.00,128547.00,130503.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.20,998.77,-0.01,0.00,1.02,-0.02,0.02,-0.00,130910.00,128545.00,130495.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.20,998.77,-0.01,0.00,1.02,0.03,-0.03,-0.00,130919.00,128547.00,130505.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.20,998.77,-0.01,0.00,1.02,0.02,0.03,-0.00,130914.00,128550.00,130499.00,3312023773
