accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ,timestamp
0.33,-0.04,-1.01,-2.63,-0.11,1.31,94384,-2672,143024,24782
0.33,-0.05,-1.01,-1.6,-1.11,-1.4,94400,-2584,143112,24807
0.33,-0.02,-1.02,-0.9,0.47,-2.59,94504,-2560,143216,24832
0.32,-0.01,-1,0.91,1.59,-2.39,94480,-2528,143096,24857
0.33,0.02,-1.01,5.01,0.79,-3.62,94528,-2536,142976,24882
0.33,0.02,-0.99,5.68,1.16,-1.28,94520,-2480,142928,24907
0.33,-0.01,-0.97,6.18,-0.63,0.75,94488,-2752,142944,24932
0.33,-0.04,-1.01,-0.83,-3.01,-1.61,94552,-2680,143264,24957
0.34,0.01,-1,2.67,-0.21,-0.08,94472,-2744,143152,24982
0.34,-0.02,-1.01,-0.22,-2.53,1.14,94392,-2752,143176,25007
0.34,-0.03,-1.04,-2.88,-2.76,-0.29,94288,-2704,143232,25032
0.34,-0.02,-1.05,0.45,1.23,-1.45,94456,-2624,143352,25057
0.34,-0.01,-1,2.03,1.53,-2.2,94400,-2648,143072,25082
0.34,0.03,-1.04,-0.32,-2.54,3.44,94392,-2608,143096,25107
0.34,-0.04,-1.04,0.68,-0.51,5.16,94392,-2720,143160,25132
0.34,-0.06,-1.03,-1.08,0.55,2.08,94464,-2616,143496,25157
0.35,-0.05,-1.03,-2.98,-0.51,-0.57,94296,-2456,143184,25182
0.34,-0.03,-1.06,-3.59,2.01,0.32,94296,-2640,142904,25207
0.33,-0.02,-1.04,-0.22,5.15,-0.17,94512,-2592,143216,25232
0.33,-0.04,-0.98,1.29,4.93,0.06,94576,-2568,143088,25257
0.32,-0.04,-0.98,-2.48,1.37,-1.22,94560,-2576,143096,25282
0.33,0.03,-0.99,-1.05,1.29,0.66,94504,-2472,143112,25307
0.33,-0.01,-0.98,1.64,0.79,3.77,94488,-2664,143208,25332
0.32,-0.05,-0.98,-1.63,-2.85,1.96,94352,-2368,143368,25357
0.33,-0.05,-1.02,-2.51,-2.41,-0.3,94544,-2448,143232,25382
0.32,-0.03,-0.96,2.01,1.27,-3.86,94416,-2568,143304,25407
0.33,0.02,-0.96,-0.18,-2.91,-2.76,94488,-2392,143320,25432
0.33,0.03,-1,1.15,-4.31,0.74,94392,-2432,143408,25457
0.33,-0.03,-1,1.26,-3.94,2.88,94344,-2400,143200,25482
0.34,-0.04,-1.02,-1.93,-5.05,-1.04,94392,-2464,143256,25507
0.33,-0.06,-1.04,-0.72,-1.88,2.68,94224,-2576,143272,25532
0.35,-0.06,-1.05,-2.48,-1.5,-3.18,94240,-2568,143344,25557
0.34,0.04,-1.04,1.68,-0.4,-4.2,94184,-2376,143400,25582
0.34,0.02,-1.02,1.14,-0.2,2.81,94192,-2536,143088,25607
0.33,-0.03,-1.04,2.84,1.14,-4.01,94200,-2496,143272,25632
0.33,0.03,-1,3.48,2.13,-1.79,94376,-2408,143248,25657
0.33,-0.01,-1,0.23,-1.28,0.96,94256,-2432,143408,25682
0.33,-0.01,-1.03,-1.03,-2.58,0.53,94144,-2408,143416,25707
0.33,-0.03,-1.02,2.93,3.51,1.66,94320,-2496,143464,25732
0.32,-0.03,-0.97,0.29,1.27,0.45,94344,-2680,143440,25757
0.32,-0.02,-1,-4.69,-2.06,-0.37,94336,-2480,143392,25782
0.32,0.01,-1.03,-3.75,-0.86,0.2,94288,-2392,143360,25807
0.32,-0.02,-0.99,0.45,1.56,1.66,94264,-2512,143368,25832
0.32,-0.02,-0.98,-1.45,-1.22,1.24,94336,-2504,143576,25857
0.32,-0.04,-1.02,-2.48,-3.1,0.48,94248,-2392,143480,25882
0.33,-0.03,-1.04,0.74,-0.52,-0.7,94304,-2448,143336,25907
0.32,0,-1.01,2.25,1.15,-2.05,94304,-2472,143552,25932
0.33,-0.02,-1.02,-0.78,-3.31,3.35,94120,-2512,143568,25957
0.33,-0.05,-1.06,0.06,-1.37,0.85,94176,-2552,143480,25982
0.33,-0.03,-1.03,1.51,2.5,-2.42,94200,-2496,143464,26007
0.33,0.04,-0.99,2.8,1.82,-2.14,94272,-2416,143488,26032
0.33,-0.05,-1.02,-0.95,-2.53,4.42,94256,-2592,143584,26057
0.33,-0.07,-1.04,-0.96,-0.82,-0.25,94272,-2504,143384,26082
0.32,0,-1.02,1.97,1.53,-2.7,94120,-2448,143408,26107
0.33,0.01,-1,1.14,0.18,1.59,94296,-2568,143592,26132
0.32,-0.07,-1.02,-0.02,-0.35,0.72,94208,-2544,143584,26157
0.32,-0.05,-1.01,1.69,1.31,-2.99,94192,-2488,143384,26182
0.32,0,-0.99,-0.86,0.37,-3.67,94240,-2480,143352,26207
0.31,0.03,-1,-0.44,-0.02,0.06,94184,-2688,143392,26232
0.31,-0.07,-0.98,-0.96,-1.11,0.63,94272,-2536,143592,26257
0.31,-0.03,-0.99,-0.99,-2.16,-3.98,94160,-2456,143344,26282
0.32,0.02,-1.01,-2.44,-3.48,-3.27,94136,-2456,143456,26307
0.33,0.04,-1.02,-0.8,-3.52,0.12,94016,-2416,143600,26332
0.33,-0.01,-1.04,-2.52,-2.77,2.02,94056,-2424,143672,26357
0.33,-0.01,-1.05,-3.37,-2.26,0.47,94088,-2392,143648,26382
0.34,0,-1.06,-1.07,-1.76,-1.11,94016,-2328,143576,26407
0.34,0.03,-1.07,-1.3,0.5,-1.05,94032,-2264,143672,26432
0.34,0.03,-1.05,-0.32,1.76,1.46,94136,-2488,143648,26457
0.33,-0.02,-1.05,3.59,3.68,1.46,94144,-2504,143520,26482
0.32,-0.01,-1.03,5.06,4.78,-0.15,94192,-2424,143440,26507
0.33,0.01,-1.02,6.2,3.93,-0.83,94280,-2616,143304,26532
0.32,0,-1.02,5.51,4.51,1.69,94304,-2552,143536,26557
0.32,-0.04,-1,1.19,2.75,0.88,94312,-2528,143256,26582
0.32,-0.02,-1.01,2.22,1.63,0.28,94280,-2640,143136,26607
0.34,-0.05,-1.02,1.23,2.3,2.59,94376,-2744,143152,26632
0.34,-0.08,-1.01,1.7,1.64,0.9,94376,-2664,143128,26657
0.34,-0.04,-1.03,2.19,-0.94,-1.28,94432,-2912,142928,26682
0.31,-0.09,-1.05,3.86,-0.73,1.25,94408,-2744,142896,26707
0.32,-0.2,-1.08,2.27,2.62,-3.5,94616,-2696,142936,26732
0.34,-0.19,-1.09,7.58,8.16,-15.15,94776,-2784,142768,26757
0.35,-0.08,-1.08,7.91,4.73,-18.3,94800,-2832,142480,26782
0.3,-0.24,-1.09,21.37,5.57,-16.92,95120,-2848,142384,26807
0.33,-0.25,-1.09,44.84,11.22,-27.5,95568,-3328,141976,26832
0.31,-0.22,-1.21,61.4,22.99,-37.13,96104,-3312,141456,26857
0.36,-0.24,-1.17,46.9,34.81,-42.34,96784,-3504,140448,26882
0.39,-0.12,-0.97,51.79,37.54,-65.96,97656,-3280,139592,26907
0.5,0,-1,133.28,28.25,-74.72,98456,-3832,138728,26932
0.96,-0.09,-1.3,100.12,44.26,-64.8,99248,-3488,137792,26957
