accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ
0.57,0.44,0.74,-12.44,9.31,1.15,137353.00,132783.00,134478.00
0.56,0.49,0.67,-22.13,5.28,-5.06,137350.00,132778.00,134486.00
0.54,0.48,0.67,-25.12,12.27,-1.81,137349.00,132771.00,134485.00
0.54,0.50,0.74,-22.55,12.36,0.51,137363.00,132790.00,134491.00
0.54,0.45,0.70,-15.79,10.21,0.26,137353.00,132802.00,134482.00
0.54,0.41,0.80,-8.67,5.44,-0.70,137362.00,132770.00,134477.00
0.54,0.44,0.68,-4.63,4.62,-7.92,137346.00,132803.00,134497.00
0.53,0.58,0.72,-1.99,6.11,-4.38,137349.00,132806.00,134474.00
0.52,0.54,0.69,-4.87,3.86,5.73,137357.00,132806.00,134469.00
0.53,0.36,0.80,0.05,5.71,2.66,137345.00,132773.00,134517.00
0.51,0.47,0.72,-2.57,3.29,-6.93,137354.00,132809.00,134514.00
0.49,0.55,0.78,8.25,7.13,-0.15,137358.00,132788.00,134508.00
0.50,0.48,0.80,6.37,2.94,5.98,137359.00,132817.00,134509.00
0.50,0.47,0.78,1.19,-2.04,4.75,137343.00,132812.00,134506.00
0.53,0.45,0.70,5.17,-3.44,0.51,137360.00,132801.00,134492.00
0.52,0.45,0.69,3.79,-1.02,0.19,137356.00,132793.00,134495.00
0.53,0.45,0.74,7.75,1.54,-2.70,137352.00,132813.00,134497.00
0.50,0.49,0.69,7.60,2.20,-5.30,137362.00,132798.00,134496.00
0.45,0.55,0.74,3.29,0.36,0.80,137337.00,132795.00,134473.00
0.46,0.54,0.73,0.14,-1.05,3.55,137350.00,132795.00,134480.00
0.46,0.53,0.65,-4.92,0.81,4.14,137356.00,132808.00,134477.00
0.48,0.50,0.69,-1.13,7.22,9.20,137360.00,132811.00,134500.00
0.51,0.44,0.67,-4.02,7.06,10.77,137346.00,132797.00,134500.00
0.51,0.41,0.73,-5.82,9.63,6.06,137350.00,132775.00,134480.00
0.52,0.44,0.70,-0.76,6.73,2.83,137345.00,132792.00,134472.00
0.52,0.45,0.66,0.01,12.64,2.50,137355.00,132808.00,134508.00
0.49,0.54,0.77,-1.83,8.78,3.74,137344.00,132798.00,134486.00
0.51,0.51,0.73,-1.01,9.60,12.06,137353.00,132793.00,134466.00
0.52,0.39,0.71,-5.43,12.24,12.82,137346.00,132771.00,134492.00
0.53,0.38,0.74,-0.82,14.08,3.78,137357.00,132806.00,134496.00
0.50,0.44,0.74,-0.97,12.48,4.67,137349.00,132787.00,134473.00
0.44,0.43,0.84,-2.34,13.21,2.58,137341.00,132799.00,134497.00
0.42,0.48,0.88,-7.08,9.47,3.15,137351.00,132792.00,134486.00
0.44,0.42,0.83,-9.17,2.91,7.65,137350.00,132812.00,134467.00
0.46,0.33,0.84,-5.82,4.65,5.84,137340.00,132787.00,134473.00
0.47,0.41,0.73,-4.32,-2.16,-9.05,137333.00,132788.00,134489.00
0.46,0.44,0.77,0.55,-0.16,-8.45,137350.00,132792.00,134462.00
0.47,0.43,0.72,-2.77,0.37,-8.69,137352.00,132790.00,134496.00
0.46,0.43,0.80,-4.83,3.34,-10.30,137330.00,132784.00,134486.00
0.46,0.49,0.79,-4.74,6.99,-8.19,137337.00,132811.00,134497.00
