magX, magY, magZ
134834.00000,134791.00000,137919.00000
134834.00000,134791.00000,137919.00000
134832.00000,134783.00000,137919.00000
134832.00000,134783.00000,137919.00000
134843.00000,134792.00000,137896.00000
134843.00000,134792.00000,137896.00000
134849.00000,134782.00000,137906.00000
134849.00000,134782.00000,137906.00000
134869.00000,134780.00000,137875.00000
134869.00000,134780.00000,137875.00000
134882.00000,134748.00000,137829.00000
134882.00000,134748.00000,137829.00000
134902.00000,134736.00000,137799.00000
134902.00000,134736.00000,137799.00000
134903.00000,134684.00000,137770.00000
134903.00000,134684.00000,137770.00000
134899.00000,134667.00000,137733.00000
134899.00000,134667.00000,137733.00000
134914.00000,134629.00000,137706.00000
134914.00000,134629.00000,137706.00000
134921.00000,134591.00000,137638.00000
134921.00000,134591.00000,137638.00000
134927.00000,134548.00000,137620.00000
134927.00000,134548.00000,137620.00000
134912.00000,134498.00000,137569.00000
134912.00000,134498.00000,137569.00000
134902.00000,134445.00000,137532.00000
134902.00000,134445.00000,137532.00000
134907.00000,134384.00000,137451.00000
134907.00000,134384.00000,137451.00000
134924.00000,134340.00000,137407.00000
134924.00000,134340.00000,137407.00000
134932.00000,134319.00000,137406.00000
134932.00000,134319.00000,137406.00000
134955.00000,134328.00000,137378.00000
134955.00000,134328.00000,137378.00000
134973.00000,134336.00000,137400.00000
134973.00000,134336.00000,137400.00000
134978.00000,134337.00000,137394.00000
134978.00000,134337.00000,137394.00000
134983.00000,134357.00000,137389.00000
134983.00000,134357.00000,137389.00000
134993.00000,134367.00000,137399.00000
134993.00000,134367.00000,137399.00000
135013.00000,134417.00000,137418.00000
135013.00000,134417.00000,137418.00000
135015.00000,134409.00000,137408.00000
135015.00000,134409.00000,137408.00000
135008.00000,134400.00000,137397.00000
135008.00000,134400.00000,137397.00000
135023.00000,134386.00000,137390.00000
135023.00000,134386.00000,137390.00000
135034.00000,134398.00000,137405.00000
135034.00000,134398.00000,137405.00000
135036.00000,134416.00000,137383.00000
135036.00000,134416.00000,137383.00000
135055.00000,134411.00000,137389.00000
135055.00000,134411.00000,137389.00000
135052.00000,134436.00000,137400.00000
135052.00000,134436.00000,137400.00000
135049.00000,134449.00000,137399.00000
135049.00000,134449.00000,137399.00000
135045.00000,134482.00000,137429.00000
135045.00000,134482.00000,137429.00000
135020.00000,134479.00000,137408.00000
135020.00000,134479.00000,137408.00000
134982.00000,134483.00000,137423.00000
134982.00000,134483.00000,137423.00000
134954.00000,134488.00000,137434.00000
134954.00000,134488.00000,137434.00000
134929.00000,134490.00000,137441.00000
134929.00000,134490.00000,137441.00000
134912.00000,134477.00000,137406.00000
134912.00000,134477.00000,137406.00000
134914.00000,134482.00000,137439.00000
134914.00000,134482.00000,137439.00000
134899.00000,134497.00000,137425.00000
134899.00000,134497.00000,137425.00000
134899.00000,134490.00000,137448.00000
134899.00000,134490.00000,137448.00000
134908.00000,134505.00000,137430.00000
134908.00000,134505.00000,137430.00000
134901.00000,134532.00000,137473.00000
134901.00000,134532.00000,137473.00000
134906.00000,134553.00000,137476.00000
134906.00000,134553.00000,137476.00000
134910.00000,134563.00000,137488.00000
134910.00000,134563.00000,137488.00000
134914.00000,134585.00000,137486.00000
134914.00000,134585.00000,137486.00000
134929.00000,134608.00000,137514.00000
134929.00000,134608.00000,137514.00000
134943.00000,134628.00000,137533.00000
134943.00000,134628.00000,137533.00000
134956.00000,134665.00000,137573.00000
134956.00000,134665.00000,137573.00000
134972.00000,134725.00000,137617.00000
134972.00000,134725.00000,137617.00000
134992.00000,134751.00000,137660.00000
134992.00000,134751.00000,137660.00000
135009.00000,134836.00000,137739.00000
135009.00000,134836.00000,137739.00000
135025.00000,134919.00000,137803.00000
135025.00000,134919.00000,137803.00000
135036.00000,134982.00000,137872.00000
135036.00000,134982.00000,137872.00000
135063.00000,135069.00000,137982.00000
135063.00000,135069.00000,137982.00000
135079.00000,135350.00000,138337.00000
135079.00000,135350.00000,138337.00000
135098.00000,135556.00000,138664.00000
135098.00000,135556.00000,138664.00000
135108.00000,135753.00000,139067.00000
135108.00000,135753.00000,139067.00000
135150.00000,135833.00000,139230.00000
135150.00000,135833.00000,139230.00000
135182.00000,135792.00000,139190.00000
135182.00000,135792.00000,139190.00000
135213.00000,135799.00000,139184.00000
135213.00000,135799.00000,139184.00000
135239.00000,135767.00000,139155.00000
135239.00000,135767.00000,139155.00000
135266.00000,135727.00000,139019.00000
135266.00000,135727.00000,139019.00000
135327.00000,135611.00000,138820.00000
135327.00000,135611.00000,138820.00000
135388.00000,135522.00000,138713.00000
135388.00000,135522.00000,138713.00000
135393.00000,135573.00000,138767.00000
135393.00000,135573.00000,138767.00000
135380.00000,135589.00000,138835.00000
135380.00000,135589.00000,138835.00000
135379.00000,135713.00000,139062.00000
135379.00000,135713.00000,139062.00000
135395.00000,135810.00000,139369.00000
135395.00000,135810.00000,139369.00000
135441.00000,135867.00000,139612.00000
135441.00000,135867.00000,139612.00000
135493.00000,135879.00000,139859.00000
135493.00000,135879.00000,139859.00000
135432.00000,135923.00000,140048.00000
135432.00000,135923.00000,140048.00000
135352.00000,135928.00000,140144.00000
135352.00000,135928.00000,140144.00000
135403.00000,135902.00000,140267.00000
135403.00000,135902.00000,140267.00000
135495.00000,135865.00000,140334.00000
135495.00000,135865.00000,140334.00000
135559.00000,135826.00000,140309.00000
135559.00000,135826.00000,140309.00000
135654.00000,135781.00000,140322.00000
135654.00000,135781.00000,140322.00000
135649.00000,135793.00000,140288.00000
135649.00000,135793.00000,140288.00000
135651.00000,135815.00000,140242.00000
135651.00000,135815.00000,140242.00000
135639.00000,135823.00000,140109.00000
135639.00000,135823.00000,140109.00000
135619.00000,135853.00000,140002.00000
135619.00000,135853.00000,140002.00000
135607.00000,135851.00000,139767.00000
135607.00000,135851.00000,139767.00000
135596.00000,135825.00000,139525.00000
135596.00000,135825.00000,139525.00000
135604.00000,135737.00000,139237.00000
135604.00000,135737.00000,139237.00000
135600.00000,135687.00000,139075.00000
135600.00000,135687.00000,139075.00000
135609.00000,135658.00000,138981.00000
135609.00000,135658.00000,138981.00000
135580.00000,135635.00000,138898.00000
135580.00000,135635.00000,138898.00000
135598.00000,135642.00000,138926.00000
135598.00000,135642.00000,138926.00000
135595.00000,135628.00000,138909.00000
135595.00000,135628.00000,138909.00000
135577.00000,135634.00000,138851.00000
135577.00000,135634.00000,138851.00000
135541.00000,135617.00000,138789.00000
135541.00000,135617.00000,138789.00000
135508.00000,135654.00000,138817.00000
135508.00000,135654.00000,138817.00000
135475.00000,135643.00000,138794.00000
135475.00000,135643.00000,138794.00000
135422.00000,135641.00000,138745.00000
135422.00000,135641.00000,138745.00000
135388.00000,135645.00000,138699.00000
135388.00000,135645.00000,138699.00000
135380.00000,135645.00000,138714.00000
135380.00000,135645.00000,138714.00000
135339.00000,135688.00000,138754.00000
135339.00000,135688.00000,138754.00000
135310.00000,135693.00000,138801.00000
135310.00000,135693.00000,138801.00000
135308.00000,135751.00000,138871.00000
135308.00000,135751.00000,138871.00000
135295.00000,135808.00000,138996.00000
135295.00000,135808.00000,138996.00000
135295.00000,135839.00000,139070.00000
135295.00000,135839.00000,139070.00000
135325.00000,135867.00000,139167.00000
135325.00000,135867.00000,139167.00000
135354.00000,135891.00000,139256.00000
135354.00000,135891.00000,139256.00000
135373.00000,135919.00000,139363.00000
135373.00000,135919.00000,139363.00000
135382.00000,135922.00000,139342.00000
135382.00000,135922.00000,139342.00000
135387.00000,135881.00000,139247.00000
135387.00000,135881.00000,139247.00000
135398.00000,135861.00000,139184.00000
135398.00000,135861.00000,139184.00000
135403.00000,135838.00000,139115.00000
135403.00000,135838.00000,139115.00000
135433.00000,135830.00000,139119.00000
135433.00000,135830.00000,139119.00000
135461.00000,135848.00000,139148.00000
135461.00000,135848.00000,139148.00000
135466.00000,135835.00000,139157.00000
135466.00000,135835.00000,139157.00000
135464.00000,135841.00000,139181.00000
135464.00000,135841.00000,139181.00000
135457.00000,135839.00000,139167.00000
135457.00000,135839.00000,139167.00000
135445.00000,135854.00000,139187.00000
135445.00000,135854.00000,139187.00000
135430.00000,135842.00000,139175.00000
135430.00000,135842.00000,139175.00000
135405.00000,135835.00000,139096.00000
135405.00000,135835.00000,139096.00000
135385.00000,135803.00000,139067.00000
135385.00000,135803.00000,139067.00000
135343.00000,135807.00000,139036.00000
135343.00000,135807.00000,139036.00000
135330.00000,135759.00000,138920.00000
135330.00000,135759.00000,138920.00000
135293.00000,135663.00000,138723.00000
135293.00000,135663.00000,138723.00000
135251.00000,135600.00000,138587.00000
135251.00000,135600.00000,138587.00000
135206.00000,135523.00000,138467.00000
135206.00000,135523.00000,138467.00000
135186.00000,135443.00000,138329.00000
135186.00000,135443.00000,138329.00000
135168.00000,135386.00000,138267.00000
135168.00000,135386.00000,138267.00000
135141.00000,135366.00000,138228.00000
135141.00000,135366.00000,138228.00000
135125.00000,135355.00000,138208.00000
135125.00000,135355.00000,138208.00000
135094.00000,135315.00000,138152.00000
135094.00000,135315.00000,138152.00000
135044.00000,135213.00000,138040.00000
135044.00000,135213.00000,138040.00000
135008.00000,135153.00000,137941.00000
135008.00000,135153.00000,137941.00000
135018.00000,135209.00000,138011.00000
135018.00000,135209.00000,138011.00000
135028.00000,135240.00000,138061.00000
135028.00000,135240.00000,138061.00000
135023.00000,135199.00000,138007.00000
135023.00000,135199.00000,138007.00000
135030.00000,135183.00000,137990.00000
135030.00000,135183.00000,137990.00000
135018.00000,135154.00000,137959.00000
135018.00000,135154.00000,137959.00000
135012.00000,135125.00000,137961.00000
135012.00000,135125.00000,137961.00000
135001.00000,135145.00000,137948.00000
135001.00000,135145.00000,137948.00000
134993.00000,135138.00000,137947.00000
134993.00000,135138.00000,137947.00000
135001.00000,135154.00000,137964.00000
135001.00000,135154.00000,137964.00000
134990.00000,135166.00000,137979.00000
134990.00000,135166.00000,137979.00000
134998.00000,135202.00000,138039.00000
134998.00000,135202.00000,138039.00000
135017.00000,135238.00000,138059.00000
135017.00000,135238.00000,138059.00000
135044.00000,135257.00000,138099.00000
135044.00000,135257.00000,138099.00000
135077.00000,135282.00000,138117.00000
135077.00000,135282.00000,138117.00000
135121.00000,135217.00000,138048.00000
135121.00000,135217.00000,138048.00000
135161.00000,135104.00000,137901.00000
135161.00000,135104.00000,137901.00000
135203.00000,134920.00000,137724.00000
135203.00000,134920.00000,137724.00000
135293.00000,134829.00000,137653.00000
135293.00000,134829.00000,137653.00000
135410.00000,134767.00000,137614.00000
135410.00000,134767.00000,137614.00000
135491.00000,134754.00000,137628.00000
135491.00000,134754.00000,137628.00000
135504.00000,134803.00000,137701.00000
135504.00000,134803.00000,137701.00000
135484.00000,134902.00000,137799.00000
135484.00000,134902.00000,137799.00000
135446.00000,135012.00000,137875.00000
135446.00000,135012.00000,137875.00000
135396.00000,135100.00000,137971.00000
135396.00000,135100.00000,137971.00000
135368.00000,135184.00000,138027.00000
135368.00000,135184.00000,138027.00000
135353.00000,135252.00000,138129.00000
135353.00000,135252.00000,138129.00000
