state,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,rawMagX,rawMagY,rawMagZ,pressure,servoPosition,altitude,magX,magY,magZ,w,i,j,k,posX,posY,posZ,velX,velY,velZ,gpsLat,gpsLong,gpsAltAGL,gpsAltMSL,gpsVelN,gpsVelE,gpsVelD,epochTime,satellites,gpsLock,loopCount,timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.11,0.01,0.99,-0.33,-0.25,-0.12,-800000,-800000,-800000,1020.98,96,-64.15,-959352.38,-930457.13,-998044.13,0.06,-0.06,-1,0,0,0,0,0,0,0,395821568,-742352512,-247357,-212406,0,0,0,1715541911,0,0,31492,790953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.11,0.02,1,-0.05,-0.39,-0.07,-800000,-800000,-800000,1020.97,93,-64.06,-959352.38,-930457.13,-998044.13,0.06,-0.06,-1,0,0,0,0,0,0,0,395821568,-742352512,-247357,-212406,0,0,0,1715541911,0,0,31493,790978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.11,0.01,1.01,0.32,0.34,0.04,-800000,-800000,-800000,1020.97,93,-64.06,-959352.38,-930457.13,-998044.13,0.06,-0.06,-1,0,0,0,0,0,0,0,395821568,-742352512,-247357,-212406,0,0,0,1715541911,0,0,31494,791003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.11,0,1.01,-0.04,0.48,0.04,-800000,-800000,-800000,1021.03,97,-64.6,-959352.38,-930457.13,-998044.13,0.06,-0.06,-1,0,0,0,0,0,0,0,395821568,-742352512,-247357,-212406,0,0,0,1715541911,0,0,31495,791028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.11,0,0.99,-0.52,-0.18,-0.05,-800000,-800000,-800000,1021.03,97,-64.6,-959352.38,-930457.13,-998044.13,0.06,-0.06,-1,0,0,0,0,0,0,0,395821568,-742352512,-247357,-212406,0,0,0,1715541911,0,0,31496,791053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.11,0.01,1,-0.09,-0.52,-0.14,-800000,-800000,-800000,1020.96,96,-63.98,-959352.38,-930457.13,-998044.13,0.06,-0.06,-1,0,0,0,0,0,0,0,395821568,-742352512,-247357,-212406,0,0,0,1715541911,0,0,31497,791078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.11,0.03,1.02,0.48,0.17,0.07,-800000,-800000,-800000,1020.92,93,-63.65,-959352.38,-930457.13,-998044.13,0.06,-0.06,-1,0,0,0,0,0,0,0,395821664,-742352576,-248388,-213438,0,0,0,1715541911,0,0,31498,791103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.11,0,1.01,0.18,0.55,0.04,-800000,-800000,-800000,1020.92,96,-63.65,-959352.38,-930457.13,-998044.13,0.06,-0.06,-1,0,0,0,0,0,0,0,395821664,-742352576,-248388,-213438,0,0,0,1715541911,0,0,31499,791128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.11,0,0.99,-0.55,-0.07,-0.12,-800000,-800000,-800000,1021,98,-64.34,-959352.38,-930457.13,-998044.13,0.06,-0.06,-1,0,0,0,0,0,0,0,395821664,-742352576,-248388,-213438,0,0,0,1715541911,0,0,31500,791153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.11,0.03,1.02,0.72,-0.26,0.08,-800000,-800000,-800000,1021.07,96,-64.87,-959352.38,-930457.13,-998044.13,0.06,-0.06,-1,0,0,0,0,0,0,0,395821664,-742352576,-248388,-213438,0,0,0,1715541911,0,0,31501,791178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
