LIN_ACCELX,LIN_ACCELY,LIN_ACCELZ,W,I,J,K,LAT,LON,ALT_MSL_GPS,ALT_BARO,BARO,ACCELX,ACCELY,ACCELZ,GYROX,GYROY,GYROZ,MAGX,MAGY,MAGZ,Time
9.81,0.51,9.92,-0.01,-0.03,0.55,-0.84,0.0000,0.0000,0.00,119.88,998.93,1.00,0.05,0.01,0.09,-0.03,-0.00,133722.00,130949.00,140351.00,3309927187
-9.91,-0.70,9.87,1.00,-0.01,-0.00,0.00,0.0000,0.0000,0.00,119.78,998.94,1.00,0.05,0.01,0.03,-0.01,0.04,133729.00,130943.00,140348.00,3309927187
9.84,-0.07,9.89,0.25,0.36,0.90,0.07,0.0000,0.0000,0.00,119.78,998.94,1.00,0.05,0.01,-0.01,0.03,-0.04,133730.00,130951.00,140361.00,3309927187
2.19,3.54,10.46,0.63,0.13,0.75,-0.18,0.0000,0.0000,0.00,119.89,998.93,1.00,0.05,0.01,-0.01,0.02,-0.00,133724.00,130934.00,140364.00,3309927187
1.28,-0.26,0.37,0.66,0.14,0.72,-0.18,0.0000,0.0000,0.00,119.89,998.93,1.00,0.05,0.01,-0.05,0.02,0.04,133732.00,130946.00,140391.00,3309927187
0.55,-0.14,0.10,0.67,0.14,0.71,-0.18,0.0000,0.0000,0.00,119.62,998.96,1.00,0.05,0.01,0.01,0.01,-0.02,133731.00,130947.00,140380.00,3309927187
0.30,-0.08,0.05,0.67,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.62,998.96,1.00,0.05,0.01,-0.01,-0.03,0.01,133732.00,130951.00,140387.00,3309927187
0.19,-0.05,0.04,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.62,998.96,1.00,0.05,0.01,0.02,-0.03,0.02,133733.00,130948.00,140376.00,3309927187
0.12,-0.03,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.68,998.96,1.00,0.05,0.01,-0.01,-0.01,-0.03,133727.00,130961.00,140397.00,1615075204
0.09,-0.03,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.68,998.96,1.00,0.05,0.01,0.09,-0.06,0.01,133724.00,130961.00,140387.00,1615075204
0.06,-0.02,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.06,998.91,1.00,0.05,0.01,0.10,-0.05,-0.00,133722.00,130963.00,140395.00,1615075204
0.04,-0.00,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.06,998.91,1.00,0.05,0.01,0.03,-0.04,0.00,133727.00,130956.00,140379.00,1615075204
0.04,-0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.96,998.92,1.00,0.05,0.01,0.02,-0.04,0.03,133736.00,130956.00,140384.00,1615075204
0.02,0.01,0.03,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.96,998.92,1.00,0.05,0.01,0.07,0.03,0.00,133728.00,130958.00,140401.00,1615075204
0.01,-0.00,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.11,998.90,1.00,0.05,0.01,0.02,-0.06,-0.00,133732.00,130959.00,140392.00,1615075204
0.02,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.11,998.90,1.00,0.05,0.01,-0.04,-0.04,0.00,133726.00,130969.00,140404.00,1615075204
0.00,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.78,998.94,1.00,0.05,0.01,-0.04,-0.01,-0.01,133726.00,130966.00,140398.00,1615075204
0.00,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.78,998.94,1.00,0.05,0.01,0.05,-0.01,-0.00,133733.00,130976.00,140401.00,1615075204
0.02,0.00,0.03,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.76,998.95,1.00,0.05,0.01,0.02,-0.02,0.03,133730.00,130972.00,140396.00,1615075204
0.00,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.76,998.95,1.00,0.05,0.01,-0.03,-0.03,0.03,133730.00,130967.00,140395.00,1615075204
-0.00,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.08,998.91,1.00,0.05,0.01,0.07,-0.02,0.02,133725.00,130965.00,140397.00,1615075204
-0.00,-0.01,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.08,998.91,1.00,0.05,0.01,0.04,-0.01,0.00,133727.00,130967.00,140392.00,1615075204
-0.00,0.01,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.48,998.98,1.00,0.05,0.01,0.10,-0.11,0.06,133718.00,130966.00,140410.00,1615075204
-0.00,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.48,998.98,1.00,0.05,0.01,-0.02,0.07,-0.03,133730.00,130966.00,140398.00,1615075204
0.01,0.01,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.16,998.90,1.00,0.05,0.01,-0.04,-0.03,-0.04,133726.00,130960.00,140405.00,1615075204
0.01,0.02,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.16,998.90,1.00,0.05,0.01,-0.04,0.02,0.00,133730.00,130954.00,140396.00,1615075204
0.00,0.01,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.89,998.93,1.00,0.05,0.01,0.03,-0.07,-0.04,133728.00,130969.00,140402.00,1615075204
0.01,0.00,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.89,998.93,1.00,0.05,0.01,0.03,0.02,0.00,133728.00,130968.00,140396.00,1615075204
-0.01,0.01,0.03,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.92,998.93,1.00,0.05,0.01,0.00,0.02,0.00,133728.00,130968.00,140401.00,1615075204
-0.01,0.01,0.03,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.92,998.93,1.00,0.05,0.01,0.04,0.01,0.02,133726.00,130976.00,140425.00,1615075204
-0.00,0.00,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.78,998.94,1.00,0.05,0.01,0.00,-0.01,0.01,133726.00,130978.00,140418.00,1615075204
-0.01,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.78,998.94,1.00,0.05,0.01,-0.01,0.02,-0.01,133730.00,130966.00,140401.00,1615075204
0.00,0.02,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.29,998.88,1.00,0.05,0.01,-0.02,-0.04,0.03,133732.00,130974.00,140401.00,1615075204
-0.01,0.02,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.29,998.88,1.00,0.05,0.01,0.01,-0.01,-0.05,133725.00,130961.00,140399.00,1615075205
0.01,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.55,998.97,1.00,0.05,0.01,0.02,0.05,0.01,133732.00,130977.00,140404.00,1615075205
-0.01,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.55,998.97,1.00,0.05,0.01,-0.01,-0.05,0.03,133730.00,130978.00,140408.00,1615075205
-0.01,0.00,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.55,998.97,1.00,0.05,0.01,0.05,-0.01,0.02,133724.00,130974.00,140415.00,1615075205
0.00,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.78,998.94,1.00,0.05,0.01,0.02,-0.02,0.00,133732.00,130974.00,140403.00,1615075205
0.00,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.78,998.94,1.00,0.05,0.01,-0.03,-0.01,0.00,133729.00,130974.00,140410.00,1615075205
0.00,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.05,998.91,1.00,0.05,0.01,-0.05,0.06,0.00,133731.00,130981.00,140407.00,1615075205
-0.00,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.05,998.91,1.00,0.05,0.01,0.01,-0.03,-0.02,133728.00,130969.00,140411.00,1615075205
-0.00,-0.00,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.46,998.98,1.00,0.05,0.01,-0.02,0.01,0.00,133730.00,130975.00,140414.00,1615075205
-0.00,0.02,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.46,998.98,1.00,0.05,0.01,-0.01,0.02,-0.05,133731.00,130980.00,140413.00,1615075205
-0.00,0.02,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.02,998.91,1.00,0.05,0.01,0.03,-0.02,-0.02,133732.00,130984.00,140434.00,1615075205
-0.01,0.02,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.02,998.91,1.00,0.05,0.01,-0.03,0.06,-0.00,133737.00,130985.00,140414.00,1615075205
-0.01,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.05,998.91,1.00,0.05,0.01,0.18,-0.07,0.04,133728.00,130977.00,140404.00,1615075205
-0.00,0.01,0.03,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.05,998.91,1.00,0.05,0.01,0.08,-0.04,0.03,133725.00,130981.00,140409.00,1615075205
0.00,-0.01,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.05,998.91,1.00,0.05,0.01,0.02,-0.04,-0.02,133730.00,130978.00,140408.00,1615075205
0.00,0.02,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.72,998.95,1.00,0.05,0.01,0.07,-0.06,0.03,133731.00,130978.00,140415.00,1615075205
-0.00,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.72,998.95,1.00,0.05,0.01,0.03,0.04,-0.03,133738.00,130984.00,140413.00,1615075205
0.00,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.03,998.91,1.00,0.05,0.01,-0.01,0.06,-0.03,133731.00,130973.00,140419.00,1615075205
0.00,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.03,998.91,1.00,0.05,0.01,-0.05,-0.01,-0.02,133735.00,130978.00,140420.00,1615075205
-0.00,0.02,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.87,998.93,1.00,0.05,0.01,0.01,0.02,-0.02,133731.00,130981.00,140404.00,1615075205
-0.01,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.87,998.93,1.00,0.05,0.01,0.00,0.02,0.00,133732.00,130981.00,140426.00,1615075205
0.00,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.62,998.96,1.00,0.05,0.01,0.09,-0.01,-0.02,133730.00,130986.00,140422.00,1615075205
0.01,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.62,998.96,1.00,0.05,0.01,0.04,-0.07,0.03,133728.00,130984.00,140425.00,1615075205
-0.01,0.01,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.62,998.96,1.00,0.05,0.01,0.19,-0.06,-0.01,133732.00,130987.00,140411.00,1615075205
-0.00,0.01,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.62,998.96,1.00,0.05,0.01,0.12,-0.02,0.01,133732.00,130985.00,140416.00,1615075205
-0.01,0.01,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.62,998.96,1.00,0.05,0.01,0.08,-0.06,0.03,133737.00,130975.00,140414.00,1615075205
-0.01,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.00,998.92,1.00,0.05,0.01,0.10,-0.05,0.04,133736.00,130978.00,140413.00,1615075205
0.01,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.00,998.92,1.00,0.05,0.01,-0.07,-0.01,-0.03,133730.00,130995.00,140428.00,1615075206
-0.01,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.91,998.93,1.00,0.05,0.01,-0.05,0.02,0.00,133735.00,130984.00,140425.00,1615075206
0.00,0.02,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.91,998.93,1.00,0.05,0.01,-0.01,-0.03,-0.01,133733.00,130992.00,140439.00,1615075206
0.01,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.25,999.01,1.00,0.05,0.01,-0.04,0.02,-0.01,133731.00,130987.00,140426.00,1615075206
-0.00,0.01,0.03,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.25,999.01,1.00,0.05,0.01,0.10,-0.01,-0.02,133737.00,130985.00,140421.00,1615075206
-0.00,0.00,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.80,998.94,1.00,0.05,0.01,0.05,0.02,-0.01,133736.00,130988.00,140430.00,1615075206
-0.01,0.01,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.80,998.94,1.00,0.05,0.01,0.02,-0.03,-0.02,133738.00,130985.00,140421.00,1615075206
-0.01,0.02,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.25,998.89,1.00,0.05,0.01,0.02,-0.01,0.00,133735.00,130990.00,140418.00,1615075206
0.01,0.02,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.25,998.89,1.00,0.05,0.01,-0.07,0.02,0.00,133735.00,130994.00,140434.00,1615075206
-0.01,0.01,0.01,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,120.25,998.89,1.00,0.05,0.01,-0.01,-0.04,-0.03,133740.00,130981.00,140424.00,1615075206
0.01,0.01,0.03,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.95,998.92,1.00,0.05,0.01,-0.10,-0.01,-0.03,133740.00,130997.00,140431.00,1615075206
0.01,0.02,0.02,0.68,0.14,0.70,-0.18,0.0000,0.0000,0.00,119.95,998.92,1.00,0.05,0.01,-0.06,0.05,-0.04,133735.00,130985.00,140426.00,1615075206
