LIN_ACCELX,LIN_ACCELY,LIN_ACCELZ,W,I,J,K,LAT,LON,ALT_MSL_GPS,ALT_BARO,BARO,ACCELX,ACCELY,ACCELZ,GYROX,GYROY,GYROZ,MAGX,MAGY,MAGZ,Time
-0.02,9.82,10.10,-0.01,-0.26,-0.00,-0.97,0.0000,0.0000,0.00,119.91,998.93,-0.00,1.00,0.03,0.02,-0.04,-0.01,136703.00,130631.00,140818.00,3307162403
0.33,-9.91,9.91,0.98,0.00,0.20,0.01,0.0000,0.0000,0.00,120.08,998.91,-0.00,1.00,0.03,0.02,0.01,0.02,136700.00,130628.00,140844.00,3307162403
-6.96,9.97,7.09,0.05,-0.90,0.39,-0.16,0.0000,0.0000,0.00,120.08,998.91,-0.00,1.00,0.03,0.05,0.07,-0.02,136701.00,130639.00,140845.00,3307162403
-6.28,-5.05,8.40,0.58,-0.68,0.30,-0.34,0.0000,0.0000,0.00,119.98,998.92,-0.00,1.00,0.03,-0.03,-0.00,0.00,136698.00,130629.00,140864.00,3307162403
0.42,0.68,0.93,0.60,-0.66,0.32,-0.32,0.0000,0.0000,0.00,119.98,998.92,-0.00,1.00,0.03,-0.01,0.02,-0.03,136696.00,130645.00,140850.00,3307162403
0.19,0.30,0.35,0.61,-0.65,0.32,-0.32,0.0000,0.0000,0.00,119.98,998.92,-0.00,1.00,0.03,-0.01,-0.04,-0.04,136704.00,130628.00,140851.00,1615075203
0.09,0.16,0.18,0.62,-0.65,0.32,-0.32,0.0000,0.0000,0.00,120.06,998.91,-0.00,1.00,0.03,0.02,-0.01,0.02,136712.00,130649.00,140852.00,1615075203
0.05,0.10,0.11,0.62,-0.64,0.32,-0.32,0.0000,0.0000,0.00,120.06,998.91,-0.00,1.00,0.03,-0.02,-0.04,0.01,136702.00,130636.00,140851.00,1615075203
0.04,0.06,0.09,0.62,-0.64,0.32,-0.32,0.0000,0.0000,0.00,119.96,998.92,-0.00,1.00,0.03,0.01,0.01,0.07,136702.00,130641.00,140864.00,1615075203
0.00,0.04,0.05,0.62,-0.64,0.32,-0.32,0.0000,0.0000,0.00,119.96,998.92,-0.00,1.00,0.03,0.08,-0.05,0.03,136693.00,130635.00,140852.00,1615075203
0.00,0.02,0.04,0.62,-0.64,0.32,-0.32,0.0000,0.0000,0.00,120.10,998.91,-0.00,1.00,0.03,-0.08,0.03,0.02,136706.00,130634.00,140861.00,1615075203
0.00,0.03,0.03,0.62,-0.64,0.32,-0.32,0.0000,0.0000,0.00,120.10,998.91,-0.00,1.00,0.03,-0.05,-0.02,-0.01,136704.00,130649.00,140869.00,1615075203
