LIN_ACCELX,LIN_ACCELY,LIN_ACCELZ,W,I,J,K,LAT,LON,ALT_MSL_GPS,ALT_BARO,BARO,ACCELX,ACCELY,ACCELZ,GYROX,GYROY,GYROZ,MAGX,MAGY,MAGZ,Time
-0.46,-0.03,19.68,-0.58,0.00,-0.03,-0.81,0.0000,0.0000,0.00,119.42,998.99,-0.05,-0.00,1.01,0.01,-0.07,-0.01,136878.00,134213.00,143105.00,3307162387
-0.06,1.47,19.27,-0.32,-0.05,-0.00,0.94,0.0000,0.0000,0.00,118.86,999.05,-0.05,-0.00,1.01,-0.07,0.02,-0.02,136868.00,134228.00,143103.00,3307162387
-0.81,-0.51,19.79,0.96,0.00,0.03,-0.28,0.0000,0.0000,0.00,118.86,999.05,-0.05,-0.00,1.01,-0.01,-0.06,0.04,136868.00,134221.00,143109.00,3307162387
-2.12,-0.89,19.48,-1.00,-0.02,0.06,-0.07,0.0000,0.0000,0.00,119.07,999.03,-0.05,-0.00,1.01,0.11,-0.11,0.08,136867.00,134233.00,143117.00,3307162387
3.41,0.58,19.29,-0.89,-0.10,0.39,0.23,0.0000,0.0000,0.00,119.07,999.03,-0.05,-0.00,1.01,-0.01,-0.02,0.01,136863.00,134229.00,143126.00,3307162387
12.36,10.81,9.12,-0.67,-0.18,0.72,0.08,0.0000,0.0000,0.00,118.84,999.05,-0.05,-0.00,1.01,0.05,0.02,-0.04,136868.00,134227.00,143126.00,3307162387
6.64,5.15,-8.57,-0.44,-0.22,0.87,0.06,0.0000,0.0000,0.00,118.84,999.05,-0.05,-0.00,1.01,0.03,-0.04,0.05,136863.00,134218.00,143120.00,3307162387
-1.94,1.52,-7.20,-0.29,-0.23,0.93,0.04,0.0000,0.0000,0.00,118.84,999.05,-0.05,-0.00,1.01,0.01,-0.11,0.08,136871.00,134226.00,143123.00,3307162387
-3.35,0.23,-3.88,-0.21,-0.23,0.95,0.02,0.0000,0.0000,0.00,119.29,999.00,-0.05,-0.00,1.01,-0.04,-0.06,0.05,136866.00,134233.00,143126.00,3307162387
-2.91,-0.06,-2.04,-0.15,-0.24,0.96,0.02,0.0000,0.0000,0.00,119.29,999.00,-0.05,-0.00,1.01,-0.08,0.07,0.01,136869.00,134216.00,143123.00,3307162387
-2.25,-0.12,-1.16,-0.12,-0.24,0.96,0.01,0.0000,0.0000,0.00,119.41,998.99,-0.05,-0.00,1.01,-0.01,0.02,0.02,136865.00,134220.00,143132.00,3307162387
-1.73,-0.11,-0.72,-0.09,-0.24,0.97,0.01,0.0000,0.0000,0.00,119.41,998.99,-0.05,-0.00,1.01,-0.04,-0.05,0.02,136865.00,134235.00,143126.00,3307162387
-1.32,-0.10,-0.48,-0.08,-0.24,0.97,0.00,0.0000,0.0000,0.00,119.33,999.00,-0.05,-0.00,1.01,-0.01,-0.04,-0.02,136866.00,134227.00,143119.00,3307162387
-1.03,-0.06,-0.32,-0.07,-0.24,0.97,0.00,0.0000,0.0000,0.00,119.33,999.00,-0.05,-0.00,1.01,-0.04,0.01,-0.01,136868.00,134233.00,143126.00,3307162387
-0.82,-0.05,-0.25,-0.06,-0.24,0.97,0.00,422721056.0000,-718033856.0000,200694.00,119.09,999.03,-0.05,-0.00,1.01,-0.02,0.04,0.02,136871.00,134237.00,143141.00,1707669013
-0.63,-0.05,-0.21,-0.05,-0.24,0.97,0.00,422720928.0000,-718033792.0000,195349.00,119.09,999.03,-0.05,-0.00,1.01,-0.01,-0.05,-0.00,136867.00,134225.00,143131.00,1707669013
-0.51,-0.04,-0.16,-0.04,-0.24,0.97,-0.00,422720928.0000,-718033792.0000,195349.00,119.19,999.01,-0.05,-0.00,1.01,0.07,-0.02,-0.03,136872.00,134221.00,143136.00,1707669013
-0.40,-0.02,-0.15,-0.04,-0.24,0.97,-0.00,422720832.0000,-718033728.0000,191069.00,119.19,999.01,-0.05,-0.00,1.01,0.00,-0.09,0.02,136868.00,134225.00,143131.00,1707669013
-0.32,-0.02,-0.13,-0.04,-0.24,0.97,-0.00,422720736.0000,-718033664.0000,188751.00,119.39,998.99,-0.05,-0.00,1.01,0.15,-0.07,0.02,136867.00,134238.00,143128.00,1707669013
-0.27,-0.02,-0.11,-0.03,-0.24,0.97,-0.00,422720736.0000,-718033664.0000,188751.00,119.39,998.99,-0.05,-0.00,1.01,0.08,-0.05,0.05,136864.00,134238.00,143111.00,1707669013
-0.20,-0.03,-0.11,-0.03,-0.24,0.97,-0.00,422720672.0000,-718033600.0000,186347.00,119.39,998.99,-0.05,-0.00,1.01,-0.08,0.03,-0.01,136867.00,134236.00,143128.00,1707669013
-0.18,-0.01,-0.10,-0.03,-0.24,0.97,-0.00,422720608.0000,-718033536.0000,184003.00,119.11,999.02,-0.05,-0.00,1.01,-0.11,0.05,-0.05,136865.00,134247.00,143122.00,1707669013
-0.14,-0.01,-0.10,-0.03,-0.24,0.97,-0.00,422720544.0000,-718033472.0000,181855.00,119.11,999.02,-0.05,-0.00,1.01,-0.09,-0.03,-0.01,136866.00,134241.00,143122.00,1707669013
